date_key,full_date,day,month,month_name,quarter,year,week_number,day_of_week,is_weekend_uae,is_peak_season,is_ramadan,fiscal_year,fiscal_quarter,currency
20210101,2021-01-01,1,1,January,Q1,2021,53,Friday,True,False,False,FY2021,Q1,AED
20210102,2021-01-02,2,1,January,Q1,2021,53,Saturday,True,False,False,FY2021,Q1,AED
20210103,2021-01-03,3,1,January,Q1,2021,53,Sunday,False,False,False,FY2021,Q1,AED
20210104,2021-01-04,4,1,January,Q1,2021,1,Monday,False,False,False,FY2021,Q1,AED
20210105,2021-01-05,5,1,January,Q1,2021,1,Tuesday,False,False,False,FY2021,Q1,AED
20210106,2021-01-06,6,1,January,Q1,2021,1,Wednesday,False,False,False,FY2021,Q1,AED
20210107,2021-01-07,7,1,January,Q1,2021,1,Thursday,False,False,False,FY2021,Q1,AED
20210108,2021-01-08,8,1,January,Q1,2021,1,Friday,True,False,False,FY2021,Q1,AED
20210109,2021-01-09,9,1,January,Q1,2021,1,Saturday,True,False,False,FY2021,Q1,AED
20210110,2021-01-10,10,1,January,Q1,2021,1,Sunday,False,False,False,FY2021,Q1,AED
20210111,2021-01-11,11,1,January,Q1,2021,2,Monday,False,False,False,FY2021,Q1,AED
20210112,2021-01-12,12,1,January,Q1,2021,2,Tuesday,False,False,False,FY2021,Q1,AED
20210113,2021-01-13,13,1,January,Q1,2021,2,Wednesday,False,False,False,FY2021,Q1,AED
20210114,2021-01-14,14,1,January,Q1,2021,2,Thursday,False,False,False,FY2021,Q1,AED
20210115,2021-01-15,15,1,January,Q1,2021,2,Friday,True,False,False,FY2021,Q1,AED
20210116,2021-01-16,16,1,January,Q1,2021,2,Saturday,True,False,False,FY2021,Q1,AED
20210117,2021-01-17,17,1,January,Q1,2021,2,Sunday,False,False,False,FY2021,Q1,AED
20210118,2021-01-18,18,1,January,Q1,2021,3,Monday,False,False,False,FY2021,Q1,AED
20210119,2021-01-19,19,1,January,Q1,2021,3,Tuesday,False,False,False,FY2021,Q1,AED
20210120,2021-01-20,20,1,January,Q1,2021,3,Wednesday,False,False,False,FY2021,Q1,AED
20210121,2021-01-21,21,1,January,Q1,2021,3,Thursday,False,False,False,FY2021,Q1,AED
20210122,2021-01-22,22,1,January,Q1,2021,3,Friday,True,False,False,FY2021,Q1,AED
20210123,2021-01-23,23,1,January,Q1,2021,3,Saturday,True,False,False,FY2021,Q1,AED
20210124,2021-01-24,24,1,January,Q1,2021,3,Sunday,False,False,False,FY2021,Q1,AED
20210125,2021-01-25,25,1,January,Q1,2021,4,Monday,False,False,False,FY2021,Q1,AED
20210126,2021-01-26,26,1,January,Q1,2021,4,Tuesday,False,False,False,FY2021,Q1,AED
20210127,2021-01-27,27,1,January,Q1,2021,4,Wednesday,False,False,False,FY2021,Q1,AED
20210128,2021-01-28,28,1,January,Q1,2021,4,Thursday,False,False,False,FY2021,Q1,AED
20210129,2021-01-29,29,1,January,Q1,2021,4,Friday,True,False,False,FY2021,Q1,AED
20210130,2021-01-30,30,1,January,Q1,2021,4,Saturday,True,False,False,FY2021,Q1,AED
20210131,2021-01-31,31,1,January,Q1,2021,4,Sunday,False,False,False,FY2021,Q1,AED
20210201,2021-02-01,1,2,February,Q1,2021,5,Monday,False,False,False,FY2021,Q1,AED
20210202,2021-02-02,2,2,February,Q1,2021,5,Tuesday,False,False,False,FY2021,Q1,AED
20210203,2021-02-03,3,2,February,Q1,2021,5,Wednesday,False,False,False,FY2021,Q1,AED
20210204,2021-02-04,4,2,February,Q1,2021,5,Thursday,False,False,False,FY2021,Q1,AED
20210205,2021-02-05,5,2,February,Q1,2021,5,Friday,True,False,False,FY2021,Q1,AED
20210206,2021-02-06,6,2,February,Q1,2021,5,Saturday,True,False,False,FY2021,Q1,AED
