SUPPLIER_ID,SUPPLIER_NAME,SUPPLIER_CATEGORY,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_COUNTRY,GST_NUMBER,EMAIL,PHONE,STATUS,SUPPLIER_COLOR,DISPLAY_ORDER,OLD_SUPPLIER_CODE,LEGACY_SUPPLIER_ID,EXPORT_FLAG,PRINT_ORDER,CACHE_KEY,TEMP_FLAG,SCREEN_NAME,ICON_NAME,PROFILE_IMAGE,LAST_VISIT_DATE,REPORT_GROUP,MIGRATION_BATCH,SUPPLIER_RATING
SUP001,Rajesh Gems & Minerals,Raw Materials,Jaipur,Rajasthan,India,27WRZVQ13447670P,contact@rajeshgems&minerals.com,+916449473421,ACTIVE,#FF6B6B,1,OLDSUP001,1,0,24,sup_SUP001,0,SupplierScreen,supplier_icon,supplier_SUP001.jpg,2026-04-22,PRIMARY,BATCH_2021,3.95
SUP002,Kumar Gold Refinery,Raw Materials,Delhi,Delhi,India,27ERHGT34181556V,contact@kumargoldrefinery.com,+919623521143,ACTIVE,#45B7D1,2,OLDSUP002,2,0,15,sup_SUP002,0,SupplierScreen,supplier_icon,supplier_SUP002.jpg,2026-04-13,PRIMARY,BATCH_2021,4.0
SUP003,Bangalore Bullion House,Equipment,Bengaluru,Karnataka,India,27ZJDYO76415034G,contact@bangalorebullionhouse.com,+918829132076,ACTIVE,#FF6B6B,3,OLDSUP003,3,1,30,sup_SUP003,0,SupplierScreen,supplier_icon,supplier_SUP003.jpg,2026-03-20,PRIMARY,BATCH_2021,4.28
SUP004,Chennai Jewelry Works,Finished Goods,Chennai,Tamil Nadu,India,27BWMRW63583860W,,+918209101778,ACTIVE,#4ECDC4,4,OLDSUP004,4,1,56,sup_SUP004,1,SupplierScreen,supplier_icon,supplier_SUP004.jpg,2026-05-07,PRIMARY,BATCH_2021,3.78
SUP005,Kolkata Diamond Centre,Finished Goods,Kolkata,West Bengal,India,27BNBTE65187513A,contact@kolkatadiamondcentre.com,+917792699683,ACTIVE,#FF6B6B,5,OLDSUP005,5,0,10,sup_SUP005,1,SupplierScreen,supplier_icon,supplier_SUP005.jpg,2026-05-18,PRIMARY,BATCH_2021,4.58
SUP006,Mumbai Gold Exchange,Finished Goods,Mumbai,Maharashtra,India,27IVKYW97520413H,contact@mumbaigoldexchange.com,+917731171242,ACTIVE,#4ECDC4,6,OLDSUP006,6,1,6,sup_SUP006,0,SupplierScreen,supplier_icon,supplier_SUP006.jpg,2026-05-23,PRIMARY,BATCH_2021,4.5
SUP007,Pune Precious Metals,Finished Goods,Pune,Maharashtra,India,27LASJU24900673V,contact@punepreciousmetals.com,+917222239557,ACTIVE,#45B7D1,7,OLDSUP007,7,0,63,sup_SUP007,0,SupplierScreen,supplier_icon,supplier_SUP007.jpg,2026-05-02,PRIMARY,BATCH_2021,4.27
SUP008,Hyderabad Gems Trading,Equipment,Hyderabad,Telangana,India,27PMOSA98707419R,contact@hyderabadgemstrading.com,+918488827162,ACTIVE,#45B7D1,8,OLDSUP008,8,1,2,sup_SUP008,1,SupplierScreen,supplier_icon,supplier_SUP008.jpg,2026-05-17,PRIMARY,BATCH_2021,3.82
SUP009,Indore Gold Mills,Equipment,Indore,Madhya Pradesh,India,27BYXWP75287107A,,+917469147689,ACTIVE,#FF6B6B,9,OLDSUP009,9,1,33,sup_SUP009,0,SupplierScreen,supplier_icon,supplier_SUP009.jpg,2026-05-05,PRIMARY,BATCH_2021,4.6
SUP010,Surat Diamond Traders,Equipment,Surat,Gujarat,India,27ETQFF33366142D,contact@suratdiamondtraders.com,+916768893351,ACTIVE,#45B7D1,10,OLDSUP010,10,0,82,sup_SUP010,1,SupplierScreen,supplier_icon,supplier_SUP010.jpg,2026-03-23,PRIMARY,BATCH_2021,4.86
